date,title,source,link,contents
2021.12.20.,"DGB사회공헌재단, '제10회 DGB청소년자원봉사대상' 시상",시장경제신문,http://www.meconomynews.com/news/articleView.html?idxno=61441,청소년 우수 봉사자·단체 격려 지역 자원봉사 문화 확산 앞장 [시장경제=양일국 기자] DGB사회공헌재단은 지난 18일 대구광역시자원봉사센터에서 '제10회 DGB청소년자원봉사대상' 시상식을 진행했다. 최태곤(오른쪽 세...
2021.12.20.,"DGB금융, 'DGB청소년자원봉사대상' 시상",위클리오늘,http://www.weeklytoday.com/news/articleView.html?idxno=440821,사진=DGB금융그룹 DGB사회공헌재단은 지난 18일 대구광역시자원봉사센터에서 '제10회 DGB청소년자원봉사대상' 시상식을 진행했다. DGB사회공헌재단이 주최하고 대구노블레스봉사회와 대구광역시자원봉사센터가 주관하는...
2021.12.20.,"DGB사회공헌재단, 제10회 DGB청소년자원봉사대상 시상식 진행",더퍼블릭,https://www.thepublic.kr/news/newsview.php?ncode=1065602113749515,▲ [더퍼블릭 = 김영덕 기자]DGB금융그룹 DGB사회공헌재단은 지난 18일 대구광역시자원봉사센터에서 ‘제10회 DGB청소년자원봉사대상’ 시상식을 진행했다고 밝혔다. 이는 DGB사회공헌재단이 주최하고...
2021.12.20.,"김태오 DGB금융그룹사회공헌재단 이사장, '지역의 자원봉사 문화 확산에 앞장...",국제뉴스,http://www.gukjenews.com/news/articleView.html?idxno=2372332,"대체로 사회가 건강하게 발전하려면 많은 자원봉사단체들이 취약계층, 불우한 이웃들을 돕는데 앞장서는 것이 필요불가결하다, 이번에 김태오 DGB금융그룹 사회공헌재단 이사장은 청소년들의 자원봉사 실천을 높히..."
2021.12.20.,DGB사회공헌재단'제10회 DGB청소년자원봉사대상',대경일보,http://www.dkilbo.com/news/articleView.html?idxno=352476,지역 학생 대상 2년간 활동 심사 총 4개팀·9명 수상자 선정 시상 DGB사회공헌재단은 지난 18일 대구광역시자원봉사센터에서 '제10회 DGB청소년자원봉사대상' 시상식을 가졌다. 이번 행사는 DGB사회공헌재단이 주최하고...
2021.12.20.,"DGB사회공헌재단, 청소년자원봉사대상 시상",경상매일신문,http://www.ksmnews.co.kr/default/index_view_page.php?idx=361945&part_idx=289,DGB금융그룹 DGB사회공헌재단은 지난 18일 대구광역시자원봉사센터에서 ‘제10회 DGB청소년자원봉사대상’ 시상식을 진행했다.DGB사회공헌재단이 주최하고 대구노블레스봉사회와 대구광역시자원봉사센터가 주관하는...
2021.12.20.,"DGB사회공헌재단, 제10회 DGB청소년자원봉사대상 시상",스마트에프엔,http://www.smartfn.co.kr/view.php?ud=202112202249099696247648fe0a_46,DGB금융그룹 DGB사회공헌재단(이사장 김태오)은 지난 18일 대구광역시자원봉사센터(센터장 정연욱)에서 ‘제10회 DGB청소년자원봉사대상’ 시상식을 진행했다. 올해 시상식에서는 대구지역 초·중·고·대학교에 재학...
2021.12.21.,[브리핑 대구] 대구청소년재능기부봉사단 '행복나눔인의 밤' 개최,프라임경제,http://www.newsprime.co.kr/news/article.html?no=558056,"한편, 한해 특별히 열심히 봉사활동에 참여해 나눔을 실천한 16명의 청소년들에게는 시상과 함께 'DGB사회공헌재단'이 후원하는 소정의 장학금도 지원된다. 권영진 대구시장은 ""청소년기에 나눔을 통한 사회적 가치를..."
2021.12.21.,"DGB사회공헌재단, '제10회 DGB청소년자원봉사대상' 시상",지이코노미,https://www.geconomy.co.kr/news/article.html?no=213421,"청소년 우수 봉사자·단체 격려, 지역 자원봉사 문화 확산 앞장 G.ECONOMY(지이코노미) 홍종락 기자 | DGB금융그룹 DGB사회공헌재단은 지난 18일 대구광역시자원봉사센터(센터장 정연욱)에서 ‘제10회..."
2021.12.21.,"대구청소년재능기부봉사단,'행복나눔인의 밤'",불교공뉴스,http://www.bzeronews.com/news/articleView.html?idxno=498560,"한편, 한해 특별히 열심히 봉사활동에 참여해 나눔을 실천한 16명의 청소년들에게는 시상과 함께 'DGB사회공헌재단'이 후원하는 소정의 장학금도 지원된다. 권영진 대구시장은 ""청소년기에 나눔을 통한 사회적 가치를..."
