date,title,source,link,contents
2021.12.22.,"DGB금융, 메타버스로 ‘디지털 패셔니스타’ 해단식 개최",뉴스웨이,http://www.newsway.co.kr/news/view?tp=1&ud=2021122213301912075,"DGB금융지주 2명, 대구은행 6명, 하이투자증권 2명, DGB생명 1명, DGB캐피탈 2명, 하이자산운용 2명, DGB유페이 1명, DGB데이터시스템 2명 등 총 18명으로 구성됐다. 이들은 ▲‘머니쇼 2021’ 참관 ▲증강현실(AR) 가상회의..."
2021.12.22.,"DGB금융그룹, 메타버스에서 '디지털 패셔니스타' 해단식",디지털데일리,https://www.ddaily.co.kr/news/article.html?no=227973,"올해 1월 DGB금융지주 2명, DGB대구은행 6명, 하이투자증권 2명, DGB생명 1명, DGB캐피탈 2명, 하이자산운용 2명, DGB유페이 1명, DGB데이터시스템 2명 등 총 18명을 선발해 3월 발대식을 시작으로 디지털 홍보 활동을..."
2021.12.22.,"DGB금융, 메타버스서 ‘디지털 패셔니스타’ 해단식 열어",미디어펜,http://www.mediapen.com/news/view/687796,"모임은 올해 1월 DGB금융지주 2명, DGB대구은행 6명, 하이투자증권 2명, DGB생명 1명, DGB캐피탈 2명, 하이자산운용 2명, DGB유페이 1명, DGB데이터시스템 2명 등 총 18명을 선발해 3월 발대식을 시작으로 디지털 홍보 활동을..."
2021.12.22.,"DGB금융그룹, 메타버스에서 ‘디지털 패셔니스타’ 해단식 개최",더퍼블릭,http://thepublic.kr/news/newsview.php?ncode=1065579434387667,"올해 1월 DGB금융지주 2명, DGB대구은행 6명, 하이투자증권 2명, DGB생명 1명, DGB캐피탈 2명, 하이자산운용 2명, DGB유페이 1명, DGB데이터시스템 2명 등 총 18명을 선발해 3월 발대식을 개최하며 디지털 홍보 활동을..."
2021.12.22.,"DGB금융그룹, '디지털 패셔니스타' 메타버스 해단식 열어",팍스경제TV,http://www.paxetv.com/news/articleView.html?idxno=134136,"올해 1월 DGB금융지주 2명, DGB대구은행 6명, 하이투자증권 2명, DGB생명 1명, DGB캐피탈 2명, 하이자산운용 2명, DGB유페이 1명, DGB데이터시스템 2명 등 총 18명을 선발해 3월 발대식을 시작으로 디지털 홍보 활동을..."
2021.12.22.,"DGB금융그룹, 메타버스에서 ‘디지털 패셔니스타’ 해단식 열어",지이코노미,https://www.geconomy.co.kr/news/article.html?no=214656,"올해 1월 DGB금융지주 2명, DGB대구은행 6명, 하이투자증권 2명, DGB생명 1명, DGB캐피탈 2명, 하이자산운용 2명, DGB유페이 1명, DGB데이터시스템 2명 등 총 18명을 선발해 3월 발대식을 시작으로 디지털 홍보 활동을..."
2021.12.22.,"DGB금융그룹, 메타버스 'ZEP'에서 제4기 디지털 패셔니스타 해단식 개최",더퍼스트,http://www.thefirstmedia.net/news/articleView.html?idxno=86330,"올해 1월 DGB금융지주 2명, DGB대구은행 6명, 하이투자증권 2명, DGB생명 1명, DGB캐피탈 2명, 하이자산운용 2명, DGB유페이 1명, DGB데이터시스템 2명 등 총 18명을 선발해 3월 발대식을 시작으로 디지털 홍보 활동을..."
2021.12.22.,"DGB금융, 메타버스에서 '디지털 패셔니스타' 해단식",서울파이낸스,http://www.seoulfn.com/news/articleView.html?idxno=441765,"DGB금융그룹은 올해 1월 DGB금융지주 2명, DGB대구은행 6명, 하이투자증권 2명, DGB생명 1명, DGB캐피탈 2명, 하이자산운용 2명, DGB유페이 1명, DGB데이터시스템 2명 등 총 18명을 선발해 3월 발대식을 시작으로 디지털..."
2021.12.22.,"DGB금융그룹, 메타버스에서 ‘디지털 패셔니스타’ 해단식",경북신문,http://www.kbsm.net/default/index_view_page.php?idx=333388&part_idx=326,"지난 1월 DGB금융지주 2명, DGB대구은행 6명, 하이투자증권 2명, DGB생명 1명, DGB캐피탈 2명, 하이자산운용 2명, DGB유페이 1명, DGB데이터시스템 2명 등 총 18명을 선발해 3월 발대식을 시작으로 디지털 홍보 활동을..."
2021.12.22.,"DGB금융, 메타버스서 ‘디지털 패셔니스타’ 해단식",스마트에프엔,http://www.smartfn.co.kr/view.php?ud=202112221753179899247648fe0a_46,"올해 1월 DGB금융지주 2명, DGB대구은행 6명, 하이투자증권 2명, DGB생명 1명, DGB캐피탈 2명, 하이자산운용 2명, DGB유페이 1명, DGB데이터시스템 2명 등 총 18명을 선발해 3월 발대식을 시작으로 디지털 홍보 활동을..."
2021.12.22.,"DGB금융그룹, 메타버스서 '디지털 패셔니스타' 해단식",시장경제신문,http://www.meconomynews.com/news/articleView.html?idxno=61533,올해 1월 △DGB금융지주 2명 △DGB대구은행 6명 △하이투자증권 2명 △DGB생명 1명 △DGB캐피탈 2명 △하이자산운용 2명 △DGB유페이 1명 △DGB데이터시스템 2명 등 총 18명을 선발해 3월 발대식을 시작으로 디지털 홍보...
2021.12.22.,"DGB금융그룹, 메타버스에서 디지털 패셔니스타 해단식 열어",대경일보,http://www.dkilbo.com/news/articleView.html?idxno=352757,"올해 1월 DGB금융지주 2명, DGB대구은행 6명, 하이투자증권 2명, DGB생명 1명, DGB캐피탈 2명, 하이자산운용 2명, DGB유페이 1명, DGB데이터시스템 2명 등 총 18명을 선발해 지난 3월 발대식을 시작으로 디지털 홍보 활동을..."
2021.12.23.,[IB토마토]지방금융 꼴찌 JB금융…김기홍 회장 연임 후 무거운 당면과제,뉴스토마토,http://www.newstomato.com/ReadNews.aspx?no=1094934&inflow=N,DGB금융지주(139130)도 △하이투자증권 △DGB생명 △DGB캐피탈 △하이자산운용 △DGB유페이 △DGB데이터시스템 △DGB신용정보 △하이투자파트너스 △뉴지스탁 등 9개의 자회사를 거느리고 있다. 이들 지방금융지주는...
2021.12.24.,[브리핑 대구] 50년 만에 대규모 단독주택지 전면 혁신 종 상향 허용,프라임경제,http://www.newsprime.co.kr/news/article.html?no=558278,"올해 1월 DGB금융지주 2명, DGB대구은행 6명, 하이투자증권 2명, DGB생명 1명, DGB캐피탈 2명, 하이자산운용 2명, DGB유페이 1명, DGB데이터시스템 2명 등 총 18명을 선발해 3월 발대식을 시작으로 디지털 홍보 활동을 본격화 했다...."
2021.12.29.,'맴도는' DGB금융 회장님 리스크,일요시사,https://www.ilyosisa.co.kr/news/article.html?no=232718,지주사인 DGB금융지주를 비롯해 ▲DGB대구은행 ▲하이투자증권 ▲DGB생명 ▲DGB캐피탈 ▲하이자산운용 ▲DGB유페이 ▲DGB데이터시스템 ▲DGB신용정보 ▲하이투자파트너스 등이 소속돼있다. 회사는 풍년인데...
2021.12.29.,"DGB금융지주‧대구은행, 최종호 전무 승진 등 임원 인사‧조직 개편… ‘미래...",한국금융신문,http://www.fntimes.com/html/view.php?ud=2021122921015038569249a1ae63_18,학사/2017년 1월 DGB금융지주 파견(DGB유페이)/2018년 8월 대구은행 정보기술(IT) 신사업부장/2019년 1월 대구은행 기업윤리센터장/2021년 1월 대구은행 정보통신기술(ICT) 기획부장/2022년 1월 (現) 대구은행 CISO (상무)
2022.01.03.,"DGB금융그룹, 메타버스 시무식 개최…계열사 CEO 총출동",글로벌경제,http://www.getnews.co.kr/news/articleView.html?idxno=566829,"메타버스 시무식에 참석한 CEO는 임성훈 DGB대구은행장, 신임 홍원식 하이투자증권 대표, 김성한 DGB생명 대표, 서정동 DGB캐피탈 대표, 박정홍 하이자산운용 대표, 신임 김윤국 DGB유페이 대표, 신임 도만섭..."
2022.01.03.,"DGB금융, 2021년 시무식...""ONE DGB 시너지 역량 강화""",FETV,https://www.fetv.co.kr/news/article.html?no=105368,"메타버스 시무식에 참석한 CEO는 임성훈 DGB대구은행장, 신임 홍원식 하이투자증권 대표, 김성한 DGB생명 대표, 서정동 DGB캐피탈 대표, 박정홍 하이자산운용 대표, 신임 김윤국 DGB유페이 대표, 신임 도만섭..."
2022.01.03.,[신년사]김태오 DGB금융 회장 “생각의 전환으로 4차 산업혁명 시대 대응”,뉴스웨이,http://www.newsway.co.kr/news/view?tp=1&ud=2022010315364674704,이날 시무식엔 ▲임성훈 대구은행장 ▲홍원식 하이투자증권 대표 ▲김성한 DGB생명 대표 ▲서정동 DGB캐피탈 대표 ▲박정홍 하이자산운용 대표 ▲김윤국 DGB유페이 대표 ▲도만섭 DGB데이터시스템 대표 ▲최태곤...
2022.01.03.,"DGB금융그룹, '메타버스 시무식' 개최…계열사 CEO 총출동",지이코노미,https://www.geconomy.co.kr/news/article.html?no=221268,"메타버스 시무식에 참석한 CEO는 임성훈 DGB대구은행장, 신임 홍원식 하이투자증권 대표, 김성한 DGB생명 대표, 서정동 DGB캐피탈 대표, 박정홍 하이자산운용 대표, 신임 김윤국 DGB유페이 대표, 신임 도만섭..."
2022.01.03.,"[신년사]김태오 DGB금융 회장 ""하나된 DGB로 시너지 강화하자""",미디어펜,http://www.mediapen.com/news/view/690959,"김윤국 DGB유페이 대표, 신임 도만섭 DGB데이터시스템 대표, 신임 최태곤 DGB신용정보 대표, 권준희 하이투자파트너스 대표, 문경록·문호준 뉴지스탁 대표 등 계열사 대표이사 11명이 참석했다. 또 각 계열사 MZ세대..."
2022.01.03.,"DGB금융, 메타버스 시무식 개최…김태오 회장 ""'원팀' 시너지"" 주문",아주경제,https://www.ajunews.com/view/20220103165630008,"한편, 메타버스 시무식에 참석한 CEO는 임성훈 DGB대구은행장, 신임 홍원식 하이투자증권 대표, 김성한 DGB생명 대표, 서정동 DGB캐피탈 대표, 박정홍 하이자산운용 대표, 신임 김윤국 DGB유페이 대표, 신임 도만섭..."
