,date,title,source,contents,link
3564,2019.09.20.,"""고금리 팍팍""…통신사·은행 경계 허물어진다",EBN,SK텔레콤도 지난 5월 DGB대구은행과 손잡고 고객에게 최대 5%의 혜택을 제공하는 고금리 적금 'T high 5적금'을 출시했다. 기본 금리 2%에 SK텔레콤 고객 우대금리 2%를 제공해 최소 4%의 금리를 받을 수 있다. 이동전화 5만원...,http://www.ebn.co.kr/news/view/1001863
3565,2019.09.20.,[생생현장] 대구은행-하이투자증권의 콜라보…수도권 첫 복합점포 가보니,CNB뉴스,"▲ CNB뉴스, CNBNEWS, 씨앤비뉴스 하이투자증권이 DGB대구은행과 손잡고 강남에 복합점포 ‘DIGNITY’의 문을 열었다. 하이투자증권이 DGB금융그룹 계열사로 편입된 후 수도권에 처음 생긴 복합점포다. 이곳을 방문하면...",http://www.cnbnews.com/news/article.html?no=422053
3566,2019.09.20.,[금융지주 스왓분석-DGB] TK텃밭에 글로벌 날개…열위한 자산건정성은 약점,아주경제,"한편 DGB금융은 DGB대구은행, 하이투자증권, DGB생명보험, DGB캐피탈, DGB자산운용, DGB유페이, DGB데이터시스템, DGB신용정보 등 8개 자회사와 4개 손자회사(DGBSB, 하이자산운용, 하이투자선물, DLLC)를 보유하고 있다. 김태오...",http://www.ajunews.com/view/20190917145742272
3567,2019.09.20.,"DGB금융, 모바일 플랫폼 활용해 동남아 공략",매일경제,"캄보디아 DGB특수은행은 DGB대구은행이 지분 100%를 소유하고 있는 여신업 전문 특수은행으로, 지난해 1월 대구은행이 인수해 은행 자회사로 편입했다. 우리나라에서 파견된 본사 직원 일부를 제외한 모든 직원을...",http://news.mk.co.kr/newsRead.php?year=2019&no=747660
3568,2019.09.19.,"""도심 주거지 침산권이 뜬다""···침산~칠성~고성동으로 확장",대구신문,이런 가운데 아이에스동서가 DGB대구은행파크 남쪽 고성동 1가 104-21번지 일원에 '대구역 오페라W(1천88가구)'를 10월중 공급할 예정이다. 이어 고성동 일대에는 힐스테이트(1천220가구) 등 4개 단지 4천여 가구가 분양을...,http://www.idaegu.co.kr/news/articleView.html?idxno=288541
3569,2019.09.19.,DGB대구은행·핀크 모바일 '비상금대출' 출시,경북매일신문,DGB대구은행은 핀테크 전문기업 핀크와 손잡고 모바일 신용대출 신상품 'DGB-핀크 비상금대출' 출시 판매한다고 19일 밝혔다. 핀크 앱으로 신청 및 약정할 수 있는 'DGB-핀크 비상금대출'은 365일·24시간 휴대폰 본인...,http://www.kbmaeil.com/news/articleView.html?idxno=826765
3570,2019.09.19.,"""문정부 '혁신성장' 하려면 예산 배정 늘리고, 선택적 유연근무제 지향해야""",매일신문,"금융경제선물연구원, DGB대구은행, 대구경북연구원 공동 주최로 열린 이번 행사에는 안충영 중앙대 국제대학원 석좌교수(전 동반성장위원회 위원장)가 기조강연에 나섰다. 안 교수는 우선 문 정부의 경제정책 큰 축인...",https://news.imaeil.com/Economy/2019091918173846060
3571,2019.09.19.,"통신사, 은행과 잇따라 高금리 적금 출시…최고 연 8%",뉴시스,"앞서 SK텔레콤은 DGB대구은행, 핀테크업체 핀크와 함께 최대 연 5%의 금리혜택을 제공하는 'T 하이(high)5 적금'을 지난 5월에 내놓았다. 이 적금은 만 19세 이상 SK텔레콤 이용 고객이라면 누구나 가입할 수 있다. 가입 희망...",http://www.newsis.com/view/?id=NISX20190919_0000774664&cID=13001&pID=13000
3572,2019.09.19.,제2금융·통신 결합 적금 특판 ‘눈에 띄네’,경향신문,"DGB대구은행은 지난 5월 SK텔레콤, 핀크와 손잡고 고객에게 최대 5%의 금리를 제공하는 적금 ‘T high 5적금’을 출시했다. 이 상품은 출시 한 달 만에 가입자가 4만명을 넘어섰다. 통신사들이 금융사와 함께 높은 금리의 예...",http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201909191756011&code=920301
3573,2019.09.19.,"금융사와 손잡는 통신사들…LGU+, 웰컴저축은행과 연 8% 고금리 적금 선보여",디지틀조선TV,"앞서 SK텔레콤도 DGB대구은행과 손잡고 최대 5%의 혜택을 제공하는 고금리 적금 상품을 선보였다. 지난 5월에 출시된 이 상품은 한달만에 고객 5만명을 넘기며 큰 호응을 얻었다. LG유플러스 관계자는 ""지난해...",http://www.dizzotv.com/site/data/html_dir/2019/09/19/2019091980163.html
